Product type,SKU,Production volumes,Manufacturing costs,Inspection results,Defect rates,Lead times,defective_volume,cost_of_poor_quality,yield_efficiency,process_risk_status
haircare,SKU0,215,46.27987924050832,Pending,0.2264103608499251,7,0.48678227582733896,22.52822494170906,99.77358963915007,Unclassified
skincare,SKU1,517,33.61676895373,Pending,4.854068026388706,30,25.09553169642961,843.6306908098821,95.1459319736113,Unclassified
haircare,SKU2,971,30.688019348284204,Pending,4.580592619199229,10,44.47755433242451,1364.9280479178053,95.41940738080078,Unclassified
skincare,SKU3,937,35.62474139712503,Fail,4.74664862064775,13,44.47609757546942,1584.4494744793974,95.25335137935225,Critical - Action Required
skincare,SKU4,414,92.06516059871284,Fail,3.145579522833002,3,13.022699224528626,1198.936895534961,96.854420477167,Critical - Action Required
haircare,SKU5,104,56.7664755574318,Fail,2.7791935115711617,27,2.8903612520340083,164.0756213657365,97.22080648842883,Warning - Monitor Line
skincare,SKU6,314,1.0850685695870688,Pending,1.0009106193041355,15,3.1428593446149855,3.410217893474735,98.99908938069586,Unclassified
cosmetics,SKU7,564,99.46610860359912,Fail,0.3981771868506506,17,2.2457193338376698,223.37296315269992,99.60182281314935,Unclassified
cosmetics,SKU8,769,11.423027139565695,Pending,2.709862691109961,10,20.8388440946356,238.0426816502008,97.29013730889004,Warning - Monitor Line
skincare,SKU9,963,47.95760163495158,Pending,3.844614478767585,27,37.02363743053184,1775.5648549703283,96.15538552123242,Unclassified
skincare,SKU10,830,96.52735278531092,Pass,1.7273139283559424,13,14.336705605354323,1383.8842397471815,98.27268607164406,Warning - Monitor Line
skincare,SKU11,362,27.592363086663696,Pending,0.0211698213729943,23,0.07663475337023937,2.114533940048569,99.978830178627,Unclassified
haircare,SKU12,563,32.32128621342403,Fail,2.161253747555912,30,12.167858598739786,393.28084037434127,97.83874625244408,Warning - Monitor Line
skincare,SKU13,173,97.82905011017328,Pending,1.6310742300715386,8,2.821758418023762,276.0499456756499,98.36892576992847,Warning - Monitor Line
skincare,SKU14,558,5.791436629862989,Pending,0.1006828515650937,29,0.5618103117332229,3.2536888184065322,99.8993171484349,Unclassified
skincare,SKU15,580,97.12128175147431,Pass,2.264405761198549,8,13.133553414951585,1275.5475416115505,97.73559423880145,Warning - Monitor Line
skincare,SKU16,399,77.10634249785001,Pass,1.012563089258049,5,4.040126726139616,311.5193950804387,98.98743691074195,Optimal
cosmetics,SKU17,453,47.679680368355335,Fail,0.1020207549181761,17,0.46215401977933773,22.03535594402939,99.89797924508183,Unclassified
haircare,SKU18,374,27.10798085484392,Pending,2.231939110729264,10,8.347452274127448,226.2825764337702,97.76806088927074,Warning - Monitor Line
skincare,SKU19,694,82.37332058799021,Fail,3.646450865417029,11,25.306369005994178,2084.5696470487374,96.35354913458298,Critical - Action Required
skincare,SKU20,309,65.68625960848863,Pass,4.231416573534539,12,13.075077212221725,858.8529161630299,95.76858342646545,Unclassified
cosmetics,SKU21,791,61.73572895416093,Pending,0.0186075676310149,25,0.14718585996132785,9.086626356457625,99.98139243236899,Unclassified
haircare,SKU22,780,50.12083961297735,Fail,2.591275473211116,1,20.211948691046704,1013.0398386096794,97.40872452678889,Warning - Monitor Line
